date,energy_produced_Wh
11/28/2019,"10,332"
11/29/2019,"10,483"
11/30/2019,"10,235"
12/01/2019,"2,129"
12/02/2019,"7,609"
12/03/2019,"2,286"
12/04/2019,821
12/05/2019,"3,394"
12/06/2019,"3,510"
12/07/2019,979
12/08/2019,"1,293"
12/09/2019,"1,127"
12/10/2019,"1,500"
12/11/2019,857
12/12/2019,932
12/13/2019,"2,889"
12/14/2019,929
12/15/2019,"1,523"
12/16/2019,"2,014"
12/17/2019,"2,452"
12/18/2019,"1,635"
12/19/2019,832
12/20/2019,220
12/21/2019,674
12/22/2019,"1,386"
12/23/2019,"2,928"
12/24/2019,"3,358"
12/25/2019,"2,926"
12/26/2019,"3,849"
12/27/2019,848
12/28/2019,"3,578"
12/29/2019,"5,215"
12/30/2019,"1,258"
12/31/2019,666
01/01/2020,"3,375"
01/02/2020,931
01/03/2020,"3,102"
01/04/2020,"4,228"
01/05/2020,"5,569"
01/06/2020,"1,162"
01/07/2020,"1,879"
01/08/2020,"1,383"
01/09/2020,"2,836"
01/10/2020,"1,257"
01/11/2020,"1,835"
01/12/2020,"5,539"
01/13/2020,"1,024"
01/14/2020,410
01/15/2020,837
01/16/2020,"6,840"
01/17/2020,"3,305"
01/18/2020,"4,252"
01/19/2020,"2,737"
01/20/2020,"2,272"
01/21/2020,"1,884"
01/22/2020,"1,418"
01/23/2020,938
01/24/2020,"3,076"
01/25/2020,"2,068"
01/26/2020,"7,297"
01/27/2020,"4,919"
01/28/2020,"5,760"
01/29/2020,"1,342"
01/30/2020,"3,016"
01/31/2020,"1,134"
02/01/2020,"3,761"
02/02/2020,"12,407"
02/03/2020,"6,413"
02/04/2020,"1,076"
02/05/2020,692
02/06/2020,722
02/07/2020,"3,525"
02/08/2020,"5,678"
02/09/2020,"10,222"
02/10/2020,"8,311"
02/11/2020,"1,893"
02/12/2020,"3,036"
02/13/2020,"2,556"
02/14/2020,"9,611"
02/15/2020,"2,315"
02/16/2020,"7,760"
02/17/2020,"9,437"
02/18/2020,"15,418"
02/19/2020,"15,182"
02/20/2020,"15,146"
02/21/2020,"13,635"
02/22/2020,"3,008"
02/23/2020,"10,631"
02/24/2020,"11,564"
02/25/2020,"7,855"
02/26/2020,"9,187"
02/27/2020,"14,629"
02/28/2020,"5,974"
02/29/2020,"7,901"
03/01/2020,"7,690"
03/02/2020,"1,680"
03/03/2020,"5,919"
03/04/2020,"15,707"
03/05/2020,"7,653"
03/06/2020,"3,622"
03/07/2020,"7,556"
03/08/2020,"10,644"
03/09/2020,"15,952"
03/10/2020,"4,515"
03/11/2020,"8,291"
03/12/2020,"9,974"
03/13/2020,"2,203"
03/14/2020,"11,884"
03/15/2020,"17,694"
03/16/2020,"19,287"
03/17/2020,"13,029"
03/18/2020,"18,920"
03/19/2020,"18,620"
03/20/2020,"18,555"
03/21/2020,"12,692"
03/22/2020,"10,986"
03/23/2020,"17,041"
03/24/2020,"11,209"
03/25/2020,"11,717"
03/26/2020,"6,141"
03/27/2020,"9,499"
03/28/2020,"6,235"
03/29/2020,"16,126"
03/30/2020,"8,928"
03/31/2020,"15,320"
04/01/2020,"16,901"
04/02/2020,"16,024"
04/03/2020,"15,746"
04/04/2020,"16,711"
04/05/2020,"12,848"
04/06/2020,"20,386"
04/07/2020,"17,318"
04/08/2020,"21,462"
04/09/2020,"21,297"
04/10/2020,"19,104"
04/11/2020,"14,526"
04/12/2020,"22,851"
04/13/2020,"22,057"
04/14/2020,"21,935"
04/15/2020,"20,629"
04/16/2020,"21,951"
04/17/2020,"17,374"
04/18/2020,"8,728"
04/19/2020,"21,415"
04/20/2020,"22,095"
04/21/2020,"7,032"
04/22/2020,"3,562"
04/23/2020,"12,368"
04/24/2020,"7,956"
04/25/2020,"17,974"
04/26/2020,"15,289"
04/27/2020,"18,017"
04/28/2020,"10,804"
04/29/2020,"15,937"
04/30/2020,"18,157"
05/01/2020,"17,786"
05/02/2020,"6,994"
05/03/2020,"21,380"
05/04/2020,"15,900"
05/05/2020,"20,533"
05/06/2020,"15,687"
05/07/2020,"23,839"
05/08/2020,"23,426"
05/09/2020,"20,020"
05/10/2020,"21,217"
05/11/2020,"15,074"
05/12/2020,"14,813"
05/13/2020,"21,303"
05/14/2020,"20,369"
05/15/2020,"23,556"
05/16/2020,"5,588"
05/17/2020,"18,387"
05/18/2020,"15,001"
05/19/2020,"18,519"
05/20/2020,"7,909"
05/21/2020,"11,062"
05/22/2020,"11,267"
05/23/2020,"16,064"
05/24/2020,"19,829"
05/25/2020,"7,014"
05/26/2020,"16,974"
05/27/2020,"23,834"
05/28/2020,"20,315"
05/29/2020,"20,964"
05/30/2020,"2,417"
05/31/2020,"13,414"
06/01/2020,"23,814"
06/02/2020,"12,649"
06/03/2020,"16,819"
06/04/2020,"16,077"
06/05/2020,"13,357"
06/06/2020,"18,479"
06/07/2020,"17,444"
06/08/2020,"19,289"
06/09/2020,"7,651"
06/10/2020,"19,887"
06/11/2020,"15,935"
06/12/2020,"6,560"
06/13/2020,"18,907"
06/14/2020,"21,398"
06/15/2020,"12,191"
06/16/2020,"19,335"
06/17/2020,"22,622"
06/18/2020,"23,833"
06/19/2020,"18,137"
06/20/2020,"14,070"
06/21/2020,"18,675"
06/22/2020,"23,190"
06/23/2020,"19,828"
06/24/2020,"13,862"
06/25/2020,"23,471"
06/26/2020,"19,165"
06/27/2020,"4,739"
06/28/2020,"17,746"
06/29/2020,"18,588"
06/30/2020,"10,768"
07/01/2020,"12,421"
07/02/2020,"11,489"
07/03/2020,"13,760"
07/04/2020,"19,316"
07/05/2020,"23,825"
07/06/2020,"20,880"
07/07/2020,"15,715"
07/08/2020,"21,712"
07/09/2020,"15,109"
07/10/2020,"21,767"
07/11/2020,"14,337"
07/12/2020,"15,540"
07/13/2020,"23,852"
07/14/2020,"23,372"
07/15/2020,"22,480"
07/16/2020,"18,470"
07/17/2020,"10,350"
07/18/2020,"23,104"
07/19/2020,"22,431"
07/20/2020,"22,518"
07/21/2020,"22,393"
07/22/2020,"10,615"
07/23/2020,"17,923"
07/24/2020,"15,848"
07/25/2020,"23,047"
07/26/2020,"22,597"
07/27/2020,"21,593"
07/28/2020,"21,650"
07/29/2020,"22,176"
07/30/2020,"21,413"
07/31/2020,"21,523"
08/01/2020,"17,258"
08/02/2020,"20,450"
08/03/2020,"19,669"
08/04/2020,"21,606"
08/05/2020,"21,725"
08/06/2020,"6,549"
08/07/2020,"20,579"
08/08/2020,"9,002"
08/09/2020,"22,264"
08/10/2020,"21,369"
08/11/2020,"19,784"
08/12/2020,"14,778"
08/13/2020,"21,689"
08/14/2020,"21,532"
08/15/2020,"21,457"
08/16/2020,"17,291"
08/17/2020,"21,045"
08/18/2020,"20,334"
08/19/2020,"17,932"
08/20/2020,"13,778"
08/21/2020,"8,075"
08/22/2020,"19,304"
08/23/2020,"20,543"
08/24/2020,"18,386"
08/25/2020,"21,063"
08/26/2020,"20,671"
08/27/2020,"20,468"
08/28/2020,"20,359"
08/29/2020,"11,072"
08/30/2020,"19,306"
08/31/2020,"16,768"
09/01/2020,"19,493"
09/02/2020,"19,140"
09/03/2020,"19,227"
09/04/2020,"17,445"
09/05/2020,"14,092"
09/06/2020,"18,987"
09/07/2020,"19,042"
09/08/2020,"18,456"
09/09/2020,"17,878"
09/10/2020,"17,619"
09/11/2020,"14,136"
09/12/2020,"3,176"
09/13/2020,"8,448"
09/14/2020,"6,029"
09/15/2020,"8,790"
09/16/2020,"8,927"
09/17/2020,"9,425"
09/18/2020,"3,013"
09/19/2020,"7,314"
09/20/2020,"10,897"
09/21/2020,"8,264"
09/22/2020,"16,316"
09/23/2020,"1,363"
09/24/2020,"5,506"
09/25/2020,"7,046"
09/26/2020,"8,755"
09/27/2020,"15,830"
09/28/2020,"16,847"
09/29/2020,"16,676"
09/30/2020,"10,477"
10/01/2020,"11,133"
10/02/2020,"13,238"
10/03/2020,"3,579"
10/04/2020,"3,375"
10/05/2020,"11,727"
10/06/2020,"14,568"
10/07/2020,"3,986"
10/08/2020,"9,768"
10/09/2020,"7,059"
10/10/2020,"9,241"
10/11/2020,"2,892"
10/12/2020,"11,557"
10/13/2020,"11,734"
10/14/2020,"12,674"
10/15/2020,"12,106"
10/16/2020,"1,647"
10/17/2020,"3,135"
10/18/2020,"1,752"
10/19/2020,"1,753"
10/20/2020,"9,857"
10/21/2020,"6,882"
10/22/2020,"8,654"
10/23/2020,"1,175"
10/24/2020,"10,655"
10/25/2020,"12,567"
10/26/2020,"8,803"
10/27/2020,"9,055"
10/28/2020,"2,602"
10/29/2020,"7,597"
10/30/2020,"12,881"
10/31/2020,"12,269"
11/01/2020,"13,021"
11/02/2020,"12,069"
11/03/2020,"1,648"
11/04/2020,"1,803"
11/05/2020,774
11/06/2020,"5,378"
11/07/2020,"1,554"
11/08/2020,"12,762"
11/09/2020,"2,787"
11/10/2020,"2,460"
11/11/2020,"2,808"
11/12/2020,"3,024"
11/13/2020,"8,636"
11/14/2020,"1,767"
11/15/2020,"5,364"
11/16/2020,692
11/17/2020,"1,948"
11/18/2020,"1,043"
11/19/2020,"5,308"
11/20/2020,"1,890"
11/21/2020,"9,955"
11/22/2020,"1,747"
11/23/2020,"1,535"
11/24/2020,"1,417"
11/25/2020,"1,580"
11/26/2020,"3,125"
11/27/2020,"8,762"
11/28/2020,"1,678"
11/29/2020,"6,177"
11/30/2020,"9,966"
12/01/2020,"9,906"
12/02/2020,"10,107"
12/03/2020,"3,423"
12/04/2020,"9,822"
